0.010141	-0.006074
0.010247	-0.006031
0.010291	-0.006118
0.010402	-0.006055
0.010537	-0.005944
0.010653	-0.005847
0.010715	-0.005857
0.010754	-0.005925
0.010812	-0.005944
0.010831	-0.005997
0.010817	-0.006118
0.010831	-0.00619
0.010884	-0.00618
0.010966	-0.006122
0.011024	-0.006093
0.010971	-0.006267
0.010981	-0.006301
0.011048	-0.006248
0.011063	-0.006277
0.011053	-0.006335
0.011015	-0.006441
0.011048	-0.006417
0.011159	-0.006267
0.011338	-0.005954
0.011497	-0.005664
0.01155	-0.005558
0.01155	-0.005577
0.011531	-0.005635
0.011487	-0.005688
0.011439	-0.005794
